branch,marks,caste,Cap_round_no,status,college_name
Computer Engineering,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,III,3,Government,"Government Polytechnic, Murtijapur"
Computer Engineering,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,87.6,NGOPENH,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,87.6,NGSCH,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,87.6,NGSTH,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,78.2,TGSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.8,NLOPENO,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.8,NLOBCO,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,81.0,TLOPENO,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,III,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.0,DEFOPENS,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.0,EWS,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.0,ORPHAN,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.0,PWD,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,90.0,DEF9459,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,III,3,Government,"Government Polytechnic, Murtijapur"
Information Technology,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,86.2,NGOPENH,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,86.2,NGOBCH,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,86.2,NLOBCH,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,77.4,NGSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,84.0,TLSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,88.6,NGOPENO,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,88.6,NGOBCO,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,88.6,NLSEBCO,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,III,3,Government,"Government Polytechnic, Murtijapur"
Electrical Engineering,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,79.8,NGOPENH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,79.8,NGSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,79.8,NLNTCH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,79.8,PWDOPENH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,78.8,PWD,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,78.8,DEF50775,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,77.6,NLSEBCH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,71.8,TGNTAH,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,III,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,84.2,NGOPENO,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,84.2,NGSCO,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,84.2,NGSTO,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,82.8,TFWS,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,DEFR,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,GOVERNMENT,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,MAHARASHTRA,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,CAP,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,III,3,Government,"Government Polytechnic, Murtijapur"
Mechanical Engineering,,SSC,3,Government,"Government Polytechnic, Murtijapur"
Civil and Rural Engineering,79.8,NGSEBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,79.8,NLOPENH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,79.8,NLNTDH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,79.8,NLOBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,79.8,NLSEBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,70.6,NGSCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,83.6,TGSEBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,80.67,NGOPENO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,DEFR,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,GOVERNMENT,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,MAHARASHTRA,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,CAP,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,III,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,SSC,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,80.2,TGOPENO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,80.2,TGNTDO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,76.6,TFWS,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,DEFR,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,GOVERNMENT,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,MAHARASHTRA,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,CAP,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,III,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil and Rural Engineering,,SSC,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,92.2,NGOPENH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,92.2,NGSCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,92.2,NGNTAH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,92.2,NGOBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,90.2,NGSEBCO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,84.2,EWS,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,DEFR,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,GOVERNMENT,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,MAHARASHTRA,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,CAP,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,III,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Computer Engineering,,SSC,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,100724570U,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,87.6,NGOPENH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,84.0,NGNTDH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,83.6,NGSCO,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,83.6,NGSTO,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,DEFR,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,GOVERNMENT,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,MAHARASHTRA,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,CAP,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,III,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,SSC,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,84.8,NGOPENH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,84.8,NLOPENH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,84.8,NLOBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,52.4,NGSTH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,52.4,NGSEBCH,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,86.6,NGOPENO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,86.6,NLOBCO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,69.0,TGSEBCO,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,DEFR,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,GOVERNMENT,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,MAHARASHTRA,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,CAP,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,III,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Electronics Engineering,,SSC,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,100737670U,3,Government-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,65.6,NGSCH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,65.6,NGOBCH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,65.6,NLOPENH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,82.8,TLOBCH,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,82.6,NGOPENO,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,82.6,NGSEBCO,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,DEFR,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,GOVERNMENT,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,MAHARASHTRA,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,CAP,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,III,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
,,SSC,3,Un-Aided,"Shree Shivaji Education Society's Dr. Panjabrao Deshmukh Polytechnic, Amravati"
Civil Engineering,84.8,NGOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,84.8,NGOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,84.8,NLOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,84.8,PWDOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,82.6,PWD,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,82.6,DEF35159,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,74.0,TLOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,58.0,NGSEBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,87.8,NGOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,87.8,NGNTBO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,87.8,NGSEBCO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,87.8,NLOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,87.8,NLOBCO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,67.2,EWS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Civil Engineering,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,83.2,TGOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,93.6,NGOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,93.6,NGSEBCO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Computer Engineering,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,84.2,NLSCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,90.6,NGSEBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,93.0,NGOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,86.6,EWS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Information Technology,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,88.6,NGOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,88.6,NGOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,88.6,NLOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,80.6,NGSEBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,80.6,NLSEBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,88.2,NGOBCO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,89.4,TGOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,91.2,DEFOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,91.2,EWS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,91.2,PWD,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,91.2,DEF6522,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electrical Engineering,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,NGOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,NGSTH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,NGOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,NLOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,PWDOPENH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,90.6,PWDOBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,87.6,PWD,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,87.6,DEF16618,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,84.8,NGNTAH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,84.8,NLNTAH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,84.8,NLSEBCH,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,92.4,NGOPENO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,92.4,NGSTO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,92.4,NGSEBCO,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,82.6,EWS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,82.6,TFWS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,82.6,ORPHAN,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,DEFR,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,GOVERNMENT,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,MAHARASHTRA,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,CAP,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,III,3,Government-Autonomous,"Government Polytechnic, Amravati"
Electronics and Telecommunication Engg,,SSC,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,NGOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,NGSCS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,NLOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,NLOBCS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,NLSEBCS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,PWDOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,71.6,DEFOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,65.4,PWD,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,65.4,DEF100946,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,83.0,TGOPENS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,83.0,TGSCS,3,Government-Autonomous,"Government Polytechnic, Amravati"
Plastic and Polymer Engineering,83.0,TGSTS,3,Government-Autonomous,"Government Polytechnic, Amravati"
